Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.64,27.0,12,72,2.64,1.72
multidim-3,multidim-3,15.49,20.0,13,83,2.49,1.83
multidim-4,multidim-4,15.51,27.0,12,86,3.51,1.86
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Hierarchical,Hierarchical,19.3,20.0,[4 3 3],100,15.3,4.0
Matrix,Matrix,19.46,9.0,18,73,1.46,1.73
multidim-2,multidim-2,19.46,9.0,18,73,1.46,1.73
STD,STD,25.0,16.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,39.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,39.0,41,0,0.0,1.0
Binary,Binary,55.73,39.0,7,100,48.73,2.0
