Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,7.0,42.0,7,0,0.0,1.0
Random,Random,8.14,34.0,7,47,1.14,1.47
Hierarchical,Hierarchical,11.99,28.0,[3 3 3],99,8.99,4.0
multidim-4,multidim-4,13.0,29.0,13,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,14.0,28.0,14,0,0.0,1.0
multidim-3,multidim-3,14.0,21.0,14,0,0.0,1.0
STD,STD,15.0,17.0,15,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,42.0,17,0,0.0,1.0
Matrix,Matrix,19.0,10.0,19,0,0.0,1.0
multidim-2,multidim-2,19.0,10.0,19,0,0.0,1.0
