Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,27.82,9.0,[7 3],100,20.82,3.0
multidim-2,multidim-2,47.35,8.0,16,100,31.35,2.0
Matrix,Matrix,47.35,8.0,16,100,31.35,2.0
STD,STD,55.0,6.0,55,0,0.0,1.0
Random,Random,66.31,9.0,14,100,52.31,2.0
Binary,Binary,67.99,31.0,6,100,61.99,2.0
multidim-3,multidim-3,72.45,16.0,12,100,60.45,2.0
multidim-4,multidim-4,73.33,27.0,12,100,61.33,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,79.0,21.0,79,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,31.0,100,0,0.0,1.0
