Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,18.3,7.0,13,95,5.3,1.95
Matrix,Matrix,18.3,7.0,13,95,5.3,1.95
Hierarchical,Hierarchical,19.97,8.0,[5 3],100,14.97,3.0
Random,Random,21.1,11.0,13,92,8.1,1.92
STD,STD,28.0,6.0,28,0,0.0,1.0
multidim-3,multidim-3,34.92,14.0,11,97,23.92,1.97
multidim-4,multidim-4,42.27,20.0,11,98,31.27,1.98
Binary,Binary,45.52,20.0,6,100,39.52,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,47.0,20.0,47,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,20.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
