Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.97,38.0,20,85,6.97,1.85
Hierarchical,Hierarchical,30.85,27.0,[6 3 3],100,24.85,4.0
Matrix,Matrix,31.71,13.0,26,98,5.71,1.98
multidim-2,multidim-2,31.71,13.0,26,98,5.71,1.98
multidim-3,multidim-3,47.05,32.0,17,100,30.05,2.0
STD,STD,49.0,23.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,70.0,32.0,70,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,80.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,123.19,54.0,15,100,108.19,2.0
Binary,Binary,167.39,80.0,8,100,159.39,2.0
