Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,14.93,3.0,[6],100,8.93,2.0
Random,Random,20.89,4.0,10,98,10.89,1.98
Binary,Binary,21.76,9.0,5,100,16.76,2.0
multidim-2,multidim-2,22.76,5.0,9,96,13.76,1.96
Matrix,Matrix,22.76,5.0,9,96,13.76,1.96
multidim-3,multidim-3,23.83,9.0,8,98,15.83,1.98
multidim-4,multidim-4,24.95,9.0,9,98,15.95,1.98
STD,STD,25.0,4.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,47.0,9.0,47,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,9.0,58,0,0.0,1.0
