Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.37,36.0,19,89,7.37,1.89
multidim-2,multidim-2,29.73,12.0,24,99,5.73,1.99
Matrix,Matrix,29.73,12.0,24,99,5.73,1.99
Hierarchical,Hierarchical,30.02,29.0,[5 3 3],100,25.02,4.0
multidim-3,multidim-3,45.91,30.0,16,100,29.91,2.0
STD,STD,49.0,21.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,36.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,71.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,121.23,48.0,14,100,107.23,2.0
Binary,Binary,148.23,71.0,8,100,140.23,2.0
