Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.08,35.0,19,88,7.08,1.88
Hierarchical,Hierarchical,29.49,27.0,[5 3 3],100,24.49,4.0
Matrix,Matrix,29.75,12.0,24,98,5.75,1.98
multidim-2,multidim-2,29.75,12.0,24,98,5.75,1.98
multidim-3,multidim-3,45.52,30.0,16,100,29.52,2.0
STD,STD,49.0,20.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,34.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,67.0,77,0,0.0,1.0
multidim-4,multidim-4,111.75,45.0,14,100,97.75,2.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
Binary,Binary,141.13,67.0,8,100,133.13,2.0
