Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,7.0,62.0,7,0,0.0,1.0
Random,Random,9.52,50.0,9,23,0.52,1.23
Hierarchical,Hierarchical,13.27,62.0,[2 3 3 3],99,11.27,5.0
multidim-4,multidim-4,14.0,42.0,14,0,0.0,1.0
STD,STD,15.0,25.0,15,0,0.0,1.0
multidim-3,multidim-3,15.0,25.0,15,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,16.0,31.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,62.0,17,0,0.0,1.0
Matrix,Matrix,23.0,12.0,23,0,0.0,1.0
multidim-2,multidim-2,23.0,12.0,23,0,0.0,1.0
