Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,20.36,8.0,15,96,5.36,1.96
Matrix,Matrix,20.36,8.0,15,96,5.36,1.96
Hierarchical,Hierarchical,21.84,9.0,[6 3],100,15.84,3.0
Random,Random,23.49,14.0,14,92,9.49,1.92
multidim-3,multidim-3,37.63,16.0,12,98,25.63,1.98
STD,STD,49.0,8.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,49.0,13.0,49,0,0.0,1.0
multidim-4,multidim-4,51.31,26.0,11,99,40.31,1.99
Binary,Binary,57.55,26.0,6,100,51.55,2.0
Chinese remainder,Chinese remainder,58.0,26.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
