Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,23.77,10.0,19,98,4.77,1.98
Matrix,Matrix,23.77,10.0,19,98,4.77,1.98
Random,Random,25.85,21.0,16,94,9.85,1.94
Hierarchical,Hierarchical,26.56,18.0,[5 3 2],100,21.56,4.0
multidim-3,multidim-3,40.71,23.0,14,99,26.71,1.99
STD,STD,49.0,13.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,30.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,45.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,96.0,45.0,7,100,89.0,2.0
multidim-4,multidim-4,101.11,35.0,13,99,88.11,1.99
