Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.32,42.0,13,78,3.32,1.78
multidim-3,multidim-3,17.62,25.0,15,86,2.62,1.86
multidim-4,multidim-4,17.69,40.0,14,88,3.69,1.88
Hierarchical,Hierarchical,21.49,24.0,[5 3 3],100,16.49,4.0
Matrix,Matrix,23.57,11.0,22,78,1.57,1.78
multidim-2,multidim-2,23.57,11.0,22,78,1.57,1.78
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,24.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,38.0,30.0,38,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,59.0,41,0,0.0,1.0
Binary,Binary,99.9,59.0,7,100,92.9,2.0
