Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,27.03,32.0,18,92,9.03,1.92
multidim-2,multidim-2,27.9,11.0,22,98,5.9,1.98
Matrix,Matrix,27.9,11.0,22,98,5.9,1.98
Hierarchical,Hierarchical,28.84,25.0,[5 3 3],100,23.84,4.0
multidim-3,multidim-3,45.56,25.0,15,99,30.56,1.99
STD,STD,49.0,18.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,41.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,61.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,98.33,42.0,14,100,84.33,2.0
Binary,Binary,127.55,61.0,7,100,120.55,2.0
