Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.49,26.0,18,89,7.49,1.89
multidim-2,multidim-2,27.79,11.0,22,98,5.79,1.98
Matrix,Matrix,27.79,11.0,22,98,5.79,1.98
Hierarchical,Hierarchical,28.21,19.0,[6 3 3],100,22.21,4.0
multidim-3,multidim-3,43.28,25.0,15,99,28.28,1.99
STD,STD,49.0,16.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,56.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,56.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,93.49,39.0,14,100,79.49,2.0
Binary,Binary,117.5,56.0,7,100,110.5,2.0
