Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.41,43.0,13,80,3.41,1.8
multidim-4,multidim-4,17.66,42.0,14,88,3.66,1.88
multidim-3,multidim-3,17.69,25.0,15,87,2.69,1.87
Hierarchical,Hierarchical,21.6,25.0,[5 3 3],100,16.6,4.0
Matrix,Matrix,23.64,11.0,22,82,1.64,1.82
multidim-2,multidim-2,23.64,11.0,22,82,1.64,1.82
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,25.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,38.0,31.0,38,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,61.0,41,0,0.0,1.0
Binary,Binary,103.78,61.0,7,100,96.78,2.0
