Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,7.0,41.0,7,0,0.0,1.0
Random,Random,7.94,34.0,7,40,0.94,1.4
Hierarchical,Hierarchical,11.89,27.0,[3 3 3],99,8.89,4.0
multidim-4,multidim-4,12.0,27.0,12,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,14.0,27.0,14,0,0.0,1.0
multidim-3,multidim-3,14.0,21.0,14,0,0.0,1.0
STD,STD,15.0,17.0,15,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,41.0,17,0,0.0,1.0
Matrix,Matrix,18.0,9.0,18,0,0.0,1.0
multidim-2,multidim-2,18.0,9.0,18,0,0.0,1.0
