Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,24.84,9.0,[5 3],100,19.84,3.0
STD,STD,35.0,7.0,35,0,0.0,1.0
Matrix,Matrix,42.38,7.0,14,99,28.38,1.99
multidim-2,multidim-2,42.38,7.0,14,99,28.38,1.99
Random,Random,49.26,9.0,13,100,36.26,2.0
Binary,Binary,50.97,23.0,6,100,44.97,2.0
multidim-3,multidim-3,54.48,15.0,11,100,43.48,2.0
multidim-4,multidim-4,55.28,23.0,11,100,44.28,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,70.0,9.0,70,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,23.0,77,0,0.0,1.0
