Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,26.33,9.0,[6 3],100,20.33,3.0
multidim-2,multidim-2,45.44,8.0,15,99,30.44,1.99
Matrix,Matrix,45.44,8.0,15,99,30.44,1.99
Random,Random,54.58,10.0,14,100,40.58,2.0
STD,STD,55.0,5.0,55,0,0.0,1.0
Binary,Binary,58.99,27.0,6,100,52.99,2.0
multidim-3,multidim-3,63.2,16.0,12,100,51.2,2.0
multidim-4,multidim-4,63.45,27.0,11,100,52.45,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,76.0,11.0,76,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,27.0,77,0,0.0,1.0
