Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,24.47,9.0,[5 3],100,19.47,3.0
STD,STD,35.0,7.0,35,0,0.0,1.0
Matrix,Matrix,43.43,7.0,14,99,29.43,1.99
multidim-2,multidim-2,43.43,7.0,14,99,29.43,1.99
Random,Random,45.49,8.0,13,100,32.49,2.0
Binary,Binary,48.96,22.0,6,100,42.96,2.0
multidim-3,multidim-3,52.41,15.0,11,100,41.41,2.0
multidim-4,multidim-4,53.22,22.0,11,100,42.22,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,68.0,11.0,68,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,22.0,77,0,0.0,1.0
