Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,26.71,11.0,21,98,5.71,1.98
Matrix,Matrix,26.71,11.0,21,98,5.71,1.98
Random,Random,27.31,28.0,17,92,10.31,1.92
Hierarchical,Hierarchical,27.95,27.0,[4 3 3],100,23.95,4.0
multidim-3,multidim-3,43.4,25.0,15,99,28.4,1.99
STD,STD,49.0,16.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,54.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,54.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,94.83,36.0,13,100,81.83,2.0
Binary,Binary,114.48,54.0,7,100,107.48,2.0
