Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,11.72,12.0,9,74,2.72,1.74
multidim-3,multidim-3,11.86,10.0,10,67,1.86,1.67
multidim-2,multidim-2,12.13,6.0,11,57,1.13,1.57
Matrix,Matrix,12.13,6.0,11,57,1.13,1.57
multidim-4,multidim-4,12.32,14.0,10,71,2.32,1.71
Hierarchical,Hierarchical,13.71,7.0,[4 3],100,9.71,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,10.0,23,0,0.0,1.0
STD,STD,25.0,6.0,25,0,0.0,1.0
Binary,Binary,25.12,14.0,5,99,20.12,1.99
Chinese remainder,Chinese remainder,28.0,14.0,28,0,0.0,1.0
