Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.91,36.0,19,87,6.91,1.87
multidim-2,multidim-2,28.71,12.0,23,98,5.71,1.98
Matrix,Matrix,28.71,12.0,23,98,5.71,1.98
Hierarchical,Hierarchical,29.25,26.0,[5 3 3],100,24.25,4.0
multidim-3,multidim-3,46.57,29.0,16,99,30.57,1.99
STD,STD,49.0,19.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,33.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,65.0,77,0,0.0,1.0
multidim-4,multidim-4,106.47,45.0,14,100,92.47,2.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
Binary,Binary,135.98,65.0,8,100,127.98,2.0
