Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.86,50.0,14,73,2.86,1.73
multidim-4,multidim-4,18.1,48.0,14,91,4.1,1.91
multidim-3,multidim-3,18.71,30.0,16,88,2.71,1.88
Hierarchical,Hierarchical,22.51,29.0,[5 3 3],100,17.51,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,25.65,12.0,24,82,1.65,1.82
multidim-2,multidim-2,25.65,12.0,24,82,1.65,1.82
STD,STD,35.0,21.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,29.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,72.0,41,0,0.0,1.0
Binary,Binary,103.42,72.0,8,100,95.42,2.0
