Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,26.63,11.0,21,98,5.63,1.98
Matrix,Matrix,26.63,11.0,21,98,5.63,1.98
Random,Random,26.68,26.0,17,92,9.68,1.92
Hierarchical,Hierarchical,27.66,26.0,[4 3 3],100,23.66,4.0
multidim-3,multidim-3,44.92,25.0,15,99,29.92,1.99
STD,STD,49.0,15.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,62.0,35.0,62,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,52.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,90.53,36.0,13,100,77.53,2.0
Binary,Binary,109.45,52.0,7,100,102.45,2.0
