Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.98,30.0,13,68,1.98,1.68
multidim-4,multidim-4,15.64,36.0,13,87,2.64,1.87
multidim-3,multidim-3,15.72,24.0,14,86,1.72,1.86
Hierarchical,Hierarchical,20.34,24.0,[4 3 3],100,16.34,4.0
Matrix,Matrix,20.75,10.0,20,75,0.75,1.75
multidim-2,multidim-2,20.75,10.0,20,75,0.75,1.75
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,20.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,32.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,48.0,41,0,0.0,1.0
Binary,Binary,103.0,48.0,7,100,96.0,2.0
