Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,20.38,8.0,15,96,5.38,1.96
Matrix,Matrix,20.38,8.0,15,96,5.38,1.96
Hierarchical,Hierarchical,21.96,9.0,[6 3],100,15.96,3.0
Random,Random,22.49,12.0,14,91,8.49,1.91
multidim-3,multidim-3,37.16,16.0,12,98,25.16,1.98
STD,STD,49.0,8.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,49.0,14.0,49,0,0.0,1.0
multidim-4,multidim-4,52.24,27.0,11,99,41.24,1.99
Chinese remainder,Chinese remainder,58.0,27.0,58,0,0.0,1.0
Binary,Binary,58.54,27.0,6,100,52.54,2.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
