"prevalence","Method","ET","time"
0.02,"A2",0.215140786386992,2.00400000000081
0.5,"A2",1.44791666666667,0.00600000000849832
0.2,"A2",0.8905152,0.0149999999994179
0.1,"A2",0.584261929423333,0.0670000000100117
0.05,"A2",0.379843737992181,0.305999999996857
0.02,"A2",0.215140786386992,1.96799999999348
0.01,"A2",0.139915173865822,9.5340000000142
0.005,"A2",0.0923709311583426,46.125
0.002,"A2",0.053540055864069,448.649000000005
0.001,"A2",0.0363599877947043,2656.413
