Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,9.0,175.0,9,0,0.0,1.0
Hierarchical,Hierarchical,16.18,175.0,[2 3 3 3 3],100,14.18,6.0
Random,Random,17.0,115.0,17,0,0.0,1.0
multidim-4,multidim-4,18.0,88.0,18,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,19.0,117.0,19,0,0.0,1.0
STD,STD,20.0,70.0,20,0,0.0,1.0
multidim-3,multidim-3,22.0,56.0,22,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,175.0,28,0,0.0,1.0
Matrix,Matrix,38.0,19.0,38,0,0.0,1.0
multidim-2,multidim-2,38.0,19.0,38,0,0.0,1.0
