Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.22,30.0,12,76,3.22,1.76
multidim-3,multidim-3,16.45,22.0,14,83,2.45,1.83
multidim-4,multidim-4,16.49,31.0,13,85,3.49,1.85
Hierarchical,Hierarchical,19.75,22.0,[4 3 3],100,15.75,4.0
Matrix,Matrix,20.48,10.0,19,74,1.48,1.74
multidim-2,multidim-2,20.48,10.0,19,74,1.48,1.74
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,17.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,29.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,43.0,41,0,0.0,1.0
Binary,Binary,61.23,43.0,7,100,54.23,2.0
