Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,32.15,10.0,[10  3],100,22.15,3.0
multidim-2,multidim-2,50.45,10.0,20,100,30.45,2.0
Matrix,Matrix,50.45,10.0,20,100,30.45,2.0
STD,STD,55.0,9.0,55,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,89.0,19.0,89,0,0.0,1.0
Binary,Binary,99.0,46.0,7,100,92.0,2.0
Chinese remainder,Chinese remainder,100.0,46.0,100,0,0.0,1.0
multidim-4,multidim-4,105.0,36.0,13,100,92.0,2.0
multidim-3,multidim-3,106.0,23.0,14,100,92.0,2.0
Random,Random,109.0,18.0,17,100,92.0,2.0
