Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,24.45,26.0,17,91,7.45,1.91
multidim-2,multidim-2,24.71,10.0,20,98,4.71,1.98
Matrix,Matrix,24.71,10.0,20,98,4.71,1.98
Hierarchical,Hierarchical,27.3,20.0,[5 3 3],100,22.3,4.0
multidim-3,multidim-3,43.5,25.0,14,99,29.5,1.99
STD,STD,49.0,14.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,33.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,49.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,105.0,49.0,7,100,98.0,2.0
multidim-4,multidim-4,111.0,36.0,13,100,98.0,2.0
