Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.16,34.0,20,82,6.16,1.82
Hierarchical,Hierarchical,30.22,25.0,[6 3 3],100,24.22,4.0
Matrix,Matrix,30.84,13.0,25,98,5.84,1.98
multidim-2,multidim-2,30.84,13.0,25,98,5.84,1.98
multidim-3,multidim-3,47.01,30.0,16,100,31.01,2.0
STD,STD,49.0,21.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,37.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,73.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,123.48,49.0,15,100,108.48,2.0
Binary,Binary,152.3,73.0,8,100,144.3,2.0
