Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,23.63,22.0,17,89,6.63,1.89
multidim-2,multidim-2,24.67,10.0,20,97,4.67,1.97
Matrix,Matrix,24.67,10.0,20,97,4.67,1.97
Hierarchical,Hierarchical,26.78,19.0,[5 3 3],100,21.78,4.0
multidim-3,multidim-3,41.31,23.0,14,99,27.31,1.99
STD,STD,49.0,14.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,31.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,46.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,99.0,46.0,7,100,92.0,2.0
multidim-4,multidim-4,105.0,36.0,13,100,92.0,2.0
