N,Diff,prevalence,p_error
75,1,0.0005,0.03681461519560014
75,1,0.001,0.07229132660999849
75,1,0.005,0.3133569068127998
75,1,0.01,0.5294133584143497
75,1,0.05,0.9786562661541224
76,1,0.0001,0.007571570171887032
76,1,0.0005,0.037296207888002364
76,1,0.001,0.07321903528338858
76,1,0.005,0.3167901222787358
76,1,0.01,0.5341192248302062
76,1,0.05,0.9797234528464163
77,1,0.0001,0.007670813014869826
77,1,0.0005,0.03777755978405839
77,1,0.001,0.07414581624810512
77,1,0.005,0.3202061716673421
77,1,0.01,0.5387780325819043
77,1,0.05,0.9807372802040955
78,1,0.0001,0.007770045933568337
78,1,0.0005,0.038258671004166356
78,1,0.001,0.07507167043185703
78,1,0.005,0.3236051408090054
78,1,0.01,0.5433902522560852
78,1,0.05,0.9817004161938907
79,1,0.0001,0.007869268928974993
79,1,0.0005,0.038739541668664224
79,1,0.001,0.07599659876142517
79,1,0.005,0.32698711510496037
79,1,0.01,0.5479563497335243
79,1,0.05,0.9826153953841962
80,1,0.0001,0.007968482002082111
80,1,0.0005,0.03922017189782989
80,1,0.001,0.07692060216266372
80,1,0.005,0.33035217952943563
80,1,0.01,0.552476786236189
80,1,0.05,0.9834846256149864
81,1,0.0001,0.008067685153881898
81,1,0.0005,0.039700561811880974
81,1,0.001,0.07784368156050114
81,1,0.005,0.33370041863178834
81,1,0.01,0.5569520183738271
81,1,0.05,0.9843103943342371
82,1,0.0001,0.00816687838536656
82,1,0.0005,0.04018071153097502
82,1,0.001,0.07876583787894054
82,1,0.005,0.3370319165386294
82,1,0.01,0.5613824981900889
82,1,0.05,0.9850948746175252
83,1,0.0001,0.008266061697527971
83,1,0.0005,0.04066062117520952
83,1,0.001,0.07968707204106162
83,1,0.005,0.3403467569559363
83,1,0.01,0.565768673208188
83,1,0.05,0.9858401308866489
84,1,0.0001,0.008365235091358225
84,1,0.0005,0.04114029086462201
84,1,0.001,0.08060738496902065
84,1,0.005,0.34364502317115664
84,1,0.01,0.5701109864761061
84,1,0.05,0.9865481243423164
85,1,0.0001,0.008464398567849085
85,1,0.0005,0.04161972071918962
85,1,0.001,0.08152677758405158
85,1,0.005,0.3469267980553008
85,1,0.01,0.574409876611345
85,1,0.05,0.9872207181252006
86,1,0.0001,0.008563552127992313
86,1,0.0005,0.042098910858829997
86,1,0.001,0.08244525080646747
86,1,0.005,0.3501921640650243
86,1,0.01,0.5786657778452315
86,1,0.05,0.9878596822189406
87,1,0.0001,0.00866269577277945
87,1,0.0005,0.042577861403400585
87,1,0.001,0.083362805555661
87,1,0.005,0.3534412032446992
87,1,0.01,0.5828791200667793
87,1,0.05,0.9884666981079936
88,1,0.0001,0.008761829503202256
88,1,0.0005,0.043056572472698895
88,1,0.001,0.08427944275010535
88,1,0.005,0.3566739972284757
88,1,0.01,0.5870503288661115
88,1,0.05,0.9890433632025939
89,1,0.0001,0.00886095332025194
89,1,0.0005,0.04353504418646259
89,1,0.001,0.08519516330735533
89,1,0.005,0.35989062724233334
89,1,0.01,0.5911798255774503
89,1,0.05,0.9895911950424642
90,1,0.0001,0.008960067224919821
90,1,0.0005,0.04401327666436938
90,1,0.001,0.08610996814404792
90,1,0.005,0.3630911741061217
90,1,0.01,0.5952680273216759
90,1,0.05,0.990111635290341
91,1,0.0001,0.009059171218197437
91,1,0.0005,0.044491270026037144
91,1,0.001,0.08702385817590386
91,1,0.005,0.366275718235591
91,1,0.01,0.5993153470484591
91,1,0.05,0.990606053525824
92,1,0.0001,0.009158265301075552
92,1,0.0005,0.044969024391024126
92,1,0.001,0.08793683431772803
92,1,0.005,0.36944433964441314
92,1,0.01,0.6033221935779746
92,1,0.05,0.9910757508495328
93,1,0.0001,0.009257349474545484
93,1,0.0005,0.04544653987882863
93,1,0.001,0.0888488974834103
93,1,0.005,0.372597117946191
93,1,0.01,0.6072889716421948
93,1,0.05,0.9915219633070561
94,1,0.0001,0.009356423739597997
94,1,0.0005,0.04592381660888922
94,1,0.001,0.08976004858592679
94,1,0.005,0.37573413235646014
94,1,0.01,0.6112160819257728
94,1,0.05,0.9919458651417034
95,1,0.0001,0.009455488097224074
95,1,0.0005,0.04640085470058475
95,1,0.001,0.09067028853734094
95,1,0.005,0.37885546169467776
95,1,0.01,0.615103921106515
95,1,0.05,0.9923485718846181
96,1,0.0001,0.009554542548414369
96,1,0.0005,0.04687765427323454
96,1,0.001,0.09157961824880356
96,1,0.005,0.3819611843862044
96,1,0.01,0.61895288189545
96,1,0.05,0.9927311432903873
97,1,0.0001,0.009653587094159422
97,1,0.0005,0.04735421544609786
97,1,0.001,0.09248803863055477
97,1,0.005,0.3850513784642734
97,1,0.01,0.6227633530764954
97,1,0.05,0.9930945861258679
98,1,0.0001,0.009752621735450107
98,1,0.0005,0.047830538338374806
98,1,0.001,0.09339555059192417
98,1,0.005,0.38812612157195203
98,1,0.01,0.6265357195457305
98,1,0.05,0.9934398568195745
99,1,0.0001,0.00985164647327652
99,1,0.0005,0.048306623069205634
99,1,0.001,0.09430215504133233
99,1,0.005,0.3911854909640923
99,1,0.01,0.6302703623502732
99,1,0.05,0.9937678639785957
100,1,0.0001,0.009950661308629205
100,1,0.0005,0.048782469757670976
100,1,0.001,0.09520785288629097
100,1,0.005,0.39422956350927174
100,1,0.01,0.6339676587267704
100,1,0.05,0.994079470779666
101,1,0.0001,0.010049666242498367
101,1,0.0005,0.04925807852279218
101,1,0.001,0.09611264503340466
101,1,0.005,0.3972584156917254
101,1,0.01,0.6376279821395028
101,1,0.05,0.9943754972406826
102,1,0.0001,0.010148661275874105
102,1,0.0005,0.049733449483530756
102,1,0.001,0.09701653238837127
102,1,0.005,0.4002721236132668
102,1,0.01,0.6412517023181077
102,1,0.05,0.9946567223786486
103,1,0.0001,0.010247646409746514
103,1,0.0005,0.05020858275878903
103,1,0.001,0.09791951585598291
103,1,0.005,0.4032707629952005
103,1,0.01,0.6448391852949267
103,1,0.05,0.9949238862597161
104,1,0.0001,0.01034662164510547
104,1,0.0005,0.050683478467409615
104,1,0.001,0.09882159634012688
104,1,0.005,0.4062544091802245
104,1,0.01,0.6483907934419774
104,1,0.05,0.9951776919467303
105,1,0.0001,0.010445586982940958
105,1,0.0005,0.05115813672817593
105,1,0.001,0.09972277474378677
105,1,0.005,0.40922313713432334
105,1,0.01,0.6519068855075576
105,1,0.05,0.9954188073493938
106,1,0.0001,0.010544542424242742
106,1,0.0005,0.051632557659811895
106,1,0.001,0.10062305196904298
106,1,0.005,0.41217702144865176
106,1,0.01,0.655387816652482
106,1,0.05,0.9956478669819241
107,1,0.0001,0.010643487970000254
107,1,0.0005,0.052106741380981925
107,1,0.001,0.10152242891707397
107,1,0.005,0.4151161363414084
107,1,0.01,0.6588339384859572
107,1,0.05,0.9958654736328278
108,1,0.0001,0.010742423621203256
108,1,0.0005,0.052580688010291476
108,1,0.001,0.10242090648815683
108,1,0.005,0.41804055565970144
108,1,0.01,0.6622455991010976
108,1,0.05,0.9960721999511865
109,1,0.0001,0.01084134937884118
109,1,0.0005,0.05305439766628628
109,1,0.001,0.10331848558166867
109,1,0.005,0.4209503528814029
109,1,0.01,0.6656231431100866
109,1,0.05,0.9962685899536272
110,1,0.0001,0.010940265243903236
110,1,0.0005,0.05352787046745311
110,1,0.001,0.10421516709608702
110,1,0.005,0.4238456011169959
110,1,0.01,0.6689669116789858
110,1,0.05,0.9964551604559458
111,1,0.0001,0.011039171217378851
111,1,0.0005,0.054001106532219456
111,1,0.001,0.105110951928991
111,1,0.005,0.42672637311141093
111,1,0.01,0.6722772425621959
111,1,0.05,0.9966324024331485
112,1,0.0001,0.011138067300257126
112,1,0.0005,0.0544741059789533
112,1,0.001,0.106005840977062
112,1,0.005,0.4295927412458539
112,1,0.01,0.6755544701365739
112,1,0.05,0.996800782311491
113,1,0.0001,0.011236953493527158
113,1,0.0005,0.0549468689259639
113,1,0.001,0.10689983513608492
113,1,0.005,0.4324447775396245
113,1,0.01,0.6787989254352083
113,1,0.05,0.9969607431959165
114,1,0.0001,0.011335829798177821
114,1,0.0005,0.05541939549150088
114,1,0.001,0.1077929353009488
114,1,0.005,0.4352825536519265
114,1,0.01,0.6820109361808562
114,1,0.05,0.9971127060361207
115,1,0.0001,0.011434696215197993
115,1,0.0005,0.05589168579375514
115,1,0.001,0.10868514236564786
115,1,0.005,0.43810614088366684
115,1,0.01,0.6851908268190476
115,1,0.05,0.9972570707343147
116,1,0.0001,0.011533552745576436
116,1,0.0005,0.056363739950858194
116,1,0.001,0.10957645722328224
116,1,0.005,0.4409156101792485
116,1,0.01,0.688338918550857
116,1,0.05,0.9973942171975989
117,1,0.0001,0.011632399390301917
117,1,0.0005,0.05683555808088281
117,1,0.001,0.11046688076605893
117,1,0.005,0.4437110321283523
117,1,0.01,0.6914555293653486
117,1,0.05,0.997524506337719
118,1,0.0001,0.011731236150362867
118,1,0.0005,0.05730714030184236
118,1,0.001,0.11135641388529294
118,1,0.005,0.44649247696771055
118,1,0.01,0.694540974071695
118,1,0.05,0.997648281020833
119,1,0.0001,0.011830063026747828
119,1,0.0005,0.05777848673169139
119,1,0.001,0.11224505747140756
119,1,0.005,0.4492600145828719
119,1,0.01,0.6975955643309781
119,1,0.05,0.9977658669697914
120,1,0.0001,0.01192888002044512
120,1,0.0005,0.05824959748832559
120,1,0.001,0.11313281241393613
120,1,0.005,0.45201371450995753
120,1,0.01,0.7006196086876684
120,1,0.05,0.9978775736213018
121,1,0.0001,0.012027687132443066
121,1,0.0005,0.05872047268958147
121,1,0.001,0.11401967960152226
121,1,0.005,0.45475364593740775
121,1,0.01,0.7036134126007916
121,1,0.05,0.9979836949402368
122,1,0.0001,0.012126484363729872
122,1,0.0005,0.059191112453236605
122,1,0.001,0.1149056599219207
122,1,0.005,0.4574798777077207
122,1,0.01,0.7065772784747837
122,1,0.05,0.9980845101932249
123,1,0.0001,0.012225271715293529
123,1,0.0005,0.05966151689701005
123,1,0.001,0.11579075426199881
123,1,0.005,0.4601924783191821
123,1,0.01,0.7095115056900358
123,1,0.05,0.9981802846835637
124,1,0.0001,0.01232404918812191
124,1,0.0005,0.06013168613856157
124,1,0.001,0.11667496350773676
124,1,0.005,0.46289151592758626
124,1,0.01,0.7124163906331356
124,1,0.05,0.9982712704493855
125,1,0.0001,0.012422816783203117
125,1,0.0005,0.06060162029549221
125,1,0.001,0.11755828854422912
125,1,0.005,0.4655770583479484
125,1,0.01,0.7152922267268043
125,1,0.05,0.9983577069269162
126,1,0.0001,0.012521574501524801
126,1,0.0005,0.0610713194853445
126,1,0.001,0.1184407302556848
126,1,0.005,0.4682491730562086
126,1,0.01,0.7181393044595361
126,1,0.05,0.9984398215805704
127,1,0.0001,0.01262032234407462
127,1,0.0005,0.0615407838256018
127,1,0.001,0.11932228952542911
127,1,0.005,0.47090792719092756
127,1,0.01,0.7209579114149408
127,1,0.05,0.9985178305015419
128,1,0.0001,0.012719060311840225
128,1,0.0005,0.06201001343368906
128,1,0.001,0.12020296723590373
128,1,0.005,0.4735533875549729
128,1,0.01,0.7237483323007914
128,1,0.05,0.9985919389764648
129,1,0.0001,0.01281778840580905
129,1,0.0005,0.06247900842697218
129,1,0.001,0.12108276426866782
129,1,0.005,0.47618562061719805
129,1,0.01,0.7265108489777834
129,1,0.05,0.9986623420276416
130,1,0.0001,0.012916506626968527
130,1,0.0005,0.06294776892275866
130,1,0.001,0.12196168150439912
130,1,0.005,0.47880469251411206
130,1,0.01,0.7292457404880056
130,1,0.05,0.9987292249262595
131,1,0.0001,0.013015214976305756
131,1,0.0005,0.06341629503829727
131,1,0.001,0.12283971982289477
131,1,0.005,0.4814106690515415
131,1,0.01,0.7319532830831255
131,1,0.05,0.9987927636799465
132,1,0.0001,0.013113913454808168
132,1,0.0005,0.06388458689077814
132,1,0.001,0.1237168801030718
132,1,0.005,0.4840036157062837
132,1,0.01,0.7346337502522944
132,1,0.05,0.9988531254959492
133,1,0.0001,0.013212602063462642
133,1,0.0005,0.06435264459733281
133,1,0.001,0.12459316322296876
133,1,0.005,0.4865835976277524
133,1,0.01,0.7372874127497713
133,1,0.05,0.9989104692211517
134,1,0.0001,0.013311280803256387
134,1,0.0005,0.06482046827503407
134,1,0.001,0.12546857005974577
134,1,0.005,0.48915067963961356
134,1,0.01,0.7399145386222736
134,1,0.05,0.9989649457600941
135,1,0.0001,0.013409949675176058
135,1,0.0005,0.06528805804089655
135,1,0.001,0.12634310148968608
135,1,0.005,0.4917049262414155
135,1,0.01,0.7425153932360509
135,1,0.05,0.9990166984720894
136,1,0.0001,0.013508608680208534
136,1,0.0005,0.06575541401187612
136,1,0.001,0.12721675838819635
136,1,0.005,0.4942464016102085
136,1,0.01,0.7450902393036904
136,1,0.05,0.9990658635484849
137,1,0.0001,0.013607257819340468
137,1,0.0005,0.06622253630487018
137,1,0.001,0.12808954162980823
137,1,0.005,0.4967751696021574
137,1,0.01,0.7476393369106535
137,1,0.05,0.9991125703710607
138,1,0.0001,0.013705897093558517
138,1,0.0005,0.06668942503671782
138,1,0.001,0.12896145208817844
138,1,0.005,0.4992912937541466
138,1,0.01,0.7501629435415469
138,1,0.05,0.9991569418525077
139,1,0.0001,0.013804526503849224
139,1,0.0005,0.0671560803241994
139,1,0.001,0.12983249063609026
139,1,0.005,0.5017948372853759
139,1,0.01,0.7526613141061316
139,1,0.05,0.9991990947598823
140,1,0.0001,0.0139031460511988
140,1,0.0005,0.06762250228403732
140,1,0.001,0.13070265814545412
140,1,0.005,0.504285863098949
140,1,0.01,0.7551347009650702
140,1,0.05,0.9992391400218882
141,1,0.0001,0.01400175573659368
141,1,0.0005,0.06808869103289528
141,1,0.001,0.1315719554873087
141,1,0.005,0.5067644337834543
141,1,0.01,0.7575833539554194
141,1,0.05,0.9992771830207937
142,1,0.0001,0.014100355561019962
142,1,0.0005,0.06855464668737887
142,1,0.001,0.1324403835318213
142,1,0.005,0.5092306116145371
142,1,0.01,0.7600075204158653
142,1,0.05,0.999313323869754
143,1,0.0001,0.014198945525463968
143,1,0.0005,0.0690203693640351
143,1,0.001,0.13330794314828953
143,1,0.005,0.5116844585564644
143,1,0.01,0.7624074452117067
