Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,32.75,10.0,[10  3],100,22.75,3.0
multidim-2,multidim-2,49.67,10.0,20,100,29.67,2.0
Matrix,Matrix,49.67,10.0,20,100,29.67,2.0
STD,STD,55.0,9.0,55,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,89.0,20.0,89,0,0.0,1.0
Chinese remainder,Chinese remainder,100.0,48.0,100,0,0.0,1.0
Binary,Binary,103.0,48.0,7,100,96.0,2.0
multidim-4,multidim-4,109.0,36.0,13,100,96.0,2.0
multidim-3,multidim-3,110.0,24.0,14,100,96.0,2.0
Random,Random,113.0,16.0,17,100,96.0,2.0
