Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,9.13,6.0,7,68,2.13,1.68
multidim-3,multidim-3,9.49,9.0,8,58,1.49,1.58
Matrix,Matrix,9.94,5.0,9,47,0.94,1.47
multidim-2,multidim-2,9.94,5.0,9,47,0.94,1.47
multidim-4,multidim-4,10.88,9.0,9,58,1.88,1.58
Hierarchical,Hierarchical,11.03,4.0,[5],99,6.03,2.0
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
STD,STD,15.0,4.0,15,0,0.0,1.0
Binary,Binary,15.01,9.0,5,92,10.01,1.92
Ch. Rm. Bktrk,Ch. Rm. Bktrk,19.0,6.0,19,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,9.0,28,0,0.0,1.0
