Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,7.0,64.0,7,0,0.0,1.0
Random,Random,9.54,50.0,9,27,0.54,1.27
Hierarchical,Hierarchical,13.36,64.0,[2 3 3 3],99,11.36,5.0
multidim-4,multidim-4,14.0,43.0,14,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,16.0,32.0,16,0,0.0,1.0
multidim-3,multidim-3,16.0,27.0,16,0,0.0,1.0
Chinese remainder,Chinese remainder,17.0,64.0,17,0,0.0,1.0
STD,STD,20.0,26.0,20,0,0.0,1.0
Matrix,Matrix,23.0,12.0,23,0,0.0,1.0
multidim-2,multidim-2,23.0,12.0,23,0,0.0,1.0
