Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,17.09,6.0,12,92,5.09,1.92
Matrix,Matrix,17.09,6.0,12,92,5.09,1.92
Random,Random,18.35,7.0,12,92,6.35,1.92
Hierarchical,Hierarchical,18.38,7.0,[5 3],100,13.38,3.0
STD,STD,28.0,5.0,28,0,0.0,1.0
multidim-3,multidim-3,31.12,12.0,10,97,21.12,1.97
multidim-4,multidim-4,36.05,16.0,10,98,26.05,1.98
Binary,Binary,37.04,16.0,6,100,31.04,2.0
Ch. Rm. Special,Ch. Rm. Special,40.0,8.0,40,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,43.0,11.0,43,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,16.0,58,0,0.0,1.0
