Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,21.81,8.0,16,97,5.81,1.97
Matrix,Matrix,21.81,8.0,16,97,5.81,1.97
Random,Random,23.05,15.0,15,91,8.05,1.91
Hierarchical,Hierarchical,23.51,10.0,[7 3],100,16.51,3.0
multidim-3,multidim-3,42.61,16.0,12,99,30.61,1.99
STD,STD,49.0,10.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,13.0,53,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,32.0,58,0,0.0,1.0
multidim-4,multidim-4,59.35,27.0,12,99,47.35,1.99
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
Binary,Binary,69.77,32.0,7,100,62.77,2.0
