Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,31.65,9.0,[10  3],100,21.65,3.0
multidim-2,multidim-2,49.58,10.0,19,100,30.58,2.0
Matrix,Matrix,49.58,10.0,19,100,30.58,2.0
STD,STD,55.0,8.0,55,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,89.0,22.0,89,0,0.0,1.0
Binary,Binary,95.0,44.0,7,100,88.0,2.0
Chinese remainder,Chinese remainder,100.0,44.0,100,0,0.0,1.0
multidim-4,multidim-4,101.0,34.0,13,100,88.0,2.0
multidim-3,multidim-3,102.0,22.0,14,100,88.0,2.0
Random,Random,104.0,15.0,16,100,88.0,2.0
