Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.82,33.0,19,87,7.82,1.87
Hierarchical,Hierarchical,29.53,27.0,[5 3 3],100,24.53,4.0
Matrix,Matrix,29.7,12.0,24,98,5.7,1.98
multidim-2,multidim-2,29.7,12.0,24,98,5.7,1.98
multidim-3,multidim-3,45.54,30.0,16,100,29.54,2.0
STD,STD,49.0,20.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,34.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,68.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,112.87,45.0,14,100,98.87,2.0
Binary,Binary,142.13,68.0,8,100,134.13,2.0
