Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.21,28.0,12,75,3.21,1.75
multidim-4,multidim-4,15.71,27.0,12,88,3.71,1.88
multidim-3,multidim-3,16.53,21.0,14,83,2.53,1.83
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Hierarchical,Hierarchical,19.46,27.0,[3 3 3],100,16.46,4.0
Matrix,Matrix,19.56,9.0,18,78,1.56,1.78
multidim-2,multidim-2,19.56,9.0,18,78,1.56,1.78
STD,STD,25.0,17.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,41.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,41.0,41,0,0.0,1.0
Binary,Binary,57.98,41.0,7,100,50.98,2.0
