Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,18.72,85.0,15,79,3.72,1.79
multidim-4,multidim-4,20.47,64.0,16,94,4.47,1.94
multidim-3,multidim-3,22.01,42.0,19,92,3.01,1.92
Hierarchical,Hierarchical,25.67,63.0,[4 3 3 3],100,21.67,5.0
Ch. Rm. Special,Ch. Rm. Special,33.0,243.0,33,0,0.0,1.0
Matrix,Matrix,33.69,16.0,32,85,1.69,1.85
multidim-2,multidim-2,33.69,16.0,32,85,1.69,1.85
STD,STD,35.0,36.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,47.0,125.0,47,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,125.0,58,0,0.0,1.0
Binary,Binary,204.96,125.0,8,100,196.96,2.0
