Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-3,multidim-3,10.59,9.0,9,62,1.59,1.62
Random,Random,10.84,8.0,8,79,2.84,1.79
multidim-2,multidim-2,11.04,5.0,10,52,1.04,1.52
Matrix,Matrix,11.04,5.0,10,52,1.04,1.52
multidim-4,multidim-4,11.28,12.0,9,68,2.28,1.68
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,12,0,0.0,1.0
Hierarchical,Hierarchical,12.75,6.0,[4 2],100,8.75,3.0
STD,STD,15.0,5.0,15,0,0.0,1.0
Binary,Binary,19.7,12.0,5,98,14.7,1.98
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,12.0,23,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,12.0,28,0,0.0,1.0
