Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,23.51,9.0,18,97,5.51,1.97
Matrix,Matrix,23.51,9.0,18,97,5.51,1.97
Random,Random,23.73,19.0,16,90,7.73,1.9
Hierarchical,Hierarchical,24.99,10.0,[8 3],100,16.99,3.0
multidim-3,multidim-3,40.99,20.0,13,99,27.99,1.99
STD,STD,49.0,11.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,57.0,15.0,57,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,38.0,58,0,0.0,1.0
multidim-4,multidim-4,68.96,27.0,12,99,56.96,1.99
Binary,Binary,81.21,38.0,7,100,74.21,2.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
