Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,21.39,8.0,16,96,5.39,1.96
Matrix,Matrix,21.39,8.0,16,96,5.39,1.96
Hierarchical,Hierarchical,23.04,9.0,[7 3],100,16.04,3.0
Random,Random,25.73,14.0,14,95,11.73,1.95
multidim-3,multidim-3,39.4,16.0,12,99,27.4,1.99
STD,STD,49.0,9.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,53.0,15.0,53,0,0.0,1.0
multidim-4,multidim-4,55.25,27.0,12,99,43.25,1.99
Chinese remainder,Chinese remainder,58.0,30.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
Binary,Binary,65.5,30.0,6,100,59.5,2.0
