Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,18.37,7.0,13,94,5.37,1.94
Matrix,Matrix,18.37,7.0,13,94,5.37,1.94
Random,Random,19.44,9.0,13,89,6.44,1.89
Hierarchical,Hierarchical,19.44,7.0,[6 3],100,13.44,3.0
STD,STD,28.0,6.0,28,0,0.0,1.0
multidim-3,multidim-3,37.18,13.0,11,97,26.18,1.97
multidim-4,multidim-4,41.23,19.0,11,98,30.23,1.98
Binary,Binary,42.41,19.0,6,100,36.41,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,43.0,13.0,43,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,19.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
