Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.93,52.0,14,73,2.93,1.73
multidim-3,multidim-3,18.76,30.0,16,89,2.76,1.89
multidim-4,multidim-4,19.09,49.0,15,90,4.09,1.9
Hierarchical,Hierarchical,22.62,29.0,[5 3 3],100,17.62,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,26.65,13.0,25,82,1.65,1.82
multidim-2,multidim-2,26.65,13.0,25,82,1.65,1.82
STD,STD,35.0,21.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,29.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,73.0,41,0,0.0,1.0
Binary,Binary,102.76,73.0,8,100,94.76,2.0
