Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,23.85,9.0,18,97,5.85,1.97
Matrix,Matrix,23.85,9.0,18,97,5.85,1.97
Random,Random,24.39,21.0,16,91,8.39,1.91
Hierarchical,Hierarchical,25.7,9.0,[9 3],100,16.7,3.0
multidim-3,multidim-3,44.29,21.0,14,99,30.29,1.99
STD,STD,49.0,12.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,59.0,17.0,59,0,0.0,1.0
multidim-4,multidim-4,74.11,27.0,12,99,62.11,1.99
Chinese remainder,Chinese remainder,77.0,41.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,87.28,41.0,7,100,80.28,2.0
