Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,20.46,8.0,15,96,5.46,1.96
Matrix,Matrix,20.46,8.0,15,96,5.46,1.96
Hierarchical,Hierarchical,22.07,9.0,[6 3],100,16.07,3.0
Random,Random,23.64,12.0,14,94,9.64,1.94
multidim-3,multidim-3,36.99,16.0,12,98,24.99,1.98
STD,STD,49.0,8.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,49.0,14.0,49,0,0.0,1.0
multidim-4,multidim-4,53.35,27.0,11,99,42.35,1.99
Chinese remainder,Chinese remainder,58.0,27.0,58,0,0.0,1.0
Binary,Binary,59.53,27.0,6,100,53.53,2.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
