Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.16,32.0,19,86,7.16,1.86
Hierarchical,Hierarchical,29.62,28.0,[5 3 3],100,24.62,4.0
Matrix,Matrix,29.67,12.0,24,98,5.67,1.98
multidim-2,multidim-2,29.67,12.0,24,98,5.67,1.98
multidim-3,multidim-3,45.43,30.0,16,100,29.43,2.0
STD,STD,49.0,20.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,34.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,68.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,114.63,46.0,14,100,100.63,2.0
Binary,Binary,143.2,68.0,8,100,135.2,2.0
