Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,12.79,15.0,10,75,2.79,1.75
multidim-3,multidim-3,13.08,15.0,11,74,2.08,1.74
multidim-4,multidim-4,13.67,22.0,11,77,2.67,1.77
multidim-2,multidim-2,15.3,7.0,14,65,1.3,1.65
Matrix,Matrix,15.3,7.0,14,65,1.3,1.65
Hierarchical,Hierarchical,15.98,9.0,[5 3],100,10.98,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,9.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,28.0,22.0,28,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,22.0,28,0,0.0,1.0
Binary,Binary,34.53,22.0,6,99,28.53,1.99
