Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,25.33,8.0,[6 3],100,19.33,3.0
STD,STD,35.0,7.0,35,0,0.0,1.0
Matrix,Matrix,43.85,7.0,14,99,29.85,1.99
multidim-2,multidim-2,43.85,7.0,14,99,29.85,1.99
Random,Random,52.12,8.0,13,100,39.12,2.0
Binary,Binary,52.97,24.0,6,100,46.97,2.0
multidim-3,multidim-3,56.6,16.0,11,100,45.6,2.0
multidim-4,multidim-4,57.33,24.0,11,100,46.33,2.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,70.0,10.0,70,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,24.0,77,0,0.0,1.0
