Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.45,27.0,18,88,7.45,1.88
multidim-2,multidim-2,27.62,11.0,22,98,5.62,1.98
Matrix,Matrix,27.62,11.0,22,98,5.62,1.98
Hierarchical,Hierarchical,28.43,23.0,[5 3 3],100,23.43,4.0
multidim-3,multidim-3,43.58,25.0,15,99,28.58,1.99
STD,STD,49.0,17.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,64.0,57.0,64,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,57.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,93.91,39.0,14,100,79.91,2.0
Binary,Binary,120.51,57.0,7,100,113.51,2.0
