Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.96,56.0,14,72,2.96,1.72
multidim-3,multidim-3,18.83,30.0,16,90,2.83,1.9
multidim-4,multidim-4,18.98,50.0,15,90,3.98,1.9
Hierarchical,Hierarchical,22.82,30.0,[5 3 3],100,17.82,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,26.6,13.0,25,80,1.6,1.8
multidim-2,multidim-2,26.6,13.0,25,80,1.6,1.8
STD,STD,35.0,22.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,30.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,75.0,41,0,0.0,1.0
Binary,Binary,103.76,75.0,8,100,95.76,2.0
