Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.0,41.0,20,84,6.0,1.84
multidim-2,multidim-2,29.92,12.0,24,99,5.92,1.99
Matrix,Matrix,29.92,12.0,24,99,5.92,1.99
Hierarchical,Hierarchical,30.18,24.0,[6 3 3],100,24.18,4.0
multidim-3,multidim-3,46.61,30.0,16,100,30.61,2.0
STD,STD,49.0,21.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,36.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,72.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
multidim-4,multidim-4,123.78,48.0,14,100,109.78,2.0
Binary,Binary,151.28,72.0,8,100,143.28,2.0
