Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.81,48.0,14,71,2.81,1.71
multidim-4,multidim-4,18.03,48.0,14,91,4.03,1.91
multidim-3,multidim-3,18.7,30.0,16,88,2.7,1.88
Hierarchical,Hierarchical,22.41,29.0,[5 3 3],100,17.41,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,25.61,12.0,24,80,1.61,1.8
multidim-2,multidim-2,25.61,12.0,24,80,1.61,1.8
STD,STD,35.0,21.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,36.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,71.0,41,0,0.0,1.0
Binary,Binary,101.84,71.0,8,100,93.84,2.0
