Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Hierarchical,Hierarchical,26.73,10.0,[6 3],100,20.73,3.0
multidim-2,multidim-2,47.28,8.0,15,100,32.28,2.0
Matrix,Matrix,47.28,8.0,15,100,32.28,2.0
STD,STD,55.0,5.0,55,0,0.0,1.0
Random,Random,56.86,9.0,14,100,42.86,2.0
Binary,Binary,60.99,28.0,6,100,54.99,2.0
multidim-3,multidim-3,65.22,16.0,12,100,53.22,2.0
multidim-4,multidim-4,66.38,27.0,12,100,54.38,2.0
Chinese remainder,Chinese remainder,77.0,28.0,77,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,77.0,28.0,77,0,0.0,1.0
