Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,13.89,19.0,11,75,2.89,1.75
multidim-3,multidim-3,14.21,16.0,12,79,2.21,1.79
multidim-4,multidim-4,15.09,27.0,12,80,3.09,1.8
multidim-2,multidim-2,16.47,8.0,15,74,1.47,1.74
Matrix,Matrix,16.47,8.0,15,74,1.47,1.74
Hierarchical,Hierarchical,17.5,10.0,[6 3],100,11.5,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,12.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,19.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,28.0,41,0,0.0,1.0
Binary,Binary,46.56,28.0,6,100,40.56,2.0
