Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps,N pools
Random,Random,7.4,3.0,5,76,2.4,1.76,
multidim-2,multidim-2,7.65,4.0,7,33,0.6545454545454545,1.33,
Matrix,Matrix,7.65,4.0,7,33,0.6545454545454545,1.33,
multidim-3,multidim-3,8.02,6.0,7,44,1.018181818181818,1.44,
Hierarchical,Hierarchical,8.25,3.0,[4],98,4.25,2.0,
Binary,Binary,9.25,5.0,4,91,5.254545454545455,1.91,
Ch. Rm. Special,Ch. Rm. Special,12.0,9.0,,0,0.0,1.0,12.0
STD,STD,15.0,2.0,15,0,0.0,1.0,
Ch. Rm. Bktrk,Ch. Rm. Bktrk,15.0,4.0,,0,0.0,1.0,15.0
Chinese reminder,Chinese reminder,17.0,5.0,17,0,0.0,1.0,
