Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,17.47,61.0,15,68,2.47,1.68
multidim-4,multidim-4,19.0,59.0,15,91,4.0,1.91
multidim-3,multidim-3,19.84,35.0,17,90,2.84,1.9
Hierarchical,Hierarchical,23.81,30.0,[6 3 3],100,17.81,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,28.63,14.0,27,82,1.63,1.82
multidim-2,multidim-2,28.63,14.0,27,82,1.63,1.82
STD,STD,35.0,25.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,42.0,35.0,42,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,88.0,58,0,0.0,1.0
Binary,Binary,125.97,88.0,8,100,117.97,2.0
