Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.51,32.0,19,85,6.51,1.85
multidim-2,multidim-2,28.67,12.0,23,98,5.67,1.98
Matrix,Matrix,28.67,12.0,23,98,5.67,1.98
Hierarchical,Hierarchical,29.2,26.0,[5 3 3],100,24.2,4.0
multidim-3,multidim-3,46.9,28.0,16,99,30.9,1.99
STD,STD,49.0,19.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,32.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,64.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,105.4,44.0,14,100,91.4,2.0
Binary,Binary,135.0,64.0,8,100,127.0,2.0
