Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,25.46,22.0,17,91,8.46,1.91
multidim-2,multidim-2,25.88,10.0,20,98,5.88,1.98
Matrix,Matrix,25.88,10.0,20,98,5.88,1.98
Hierarchical,Hierarchical,27.46,20.0,[5 3 3],100,22.46,4.0
multidim-3,multidim-3,45.87,25.0,14,99,31.87,1.99
STD,STD,49.0,15.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,34.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,50.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,87.66,36.0,13,100,74.66,2.0
Binary,Binary,106.42,50.0,7,100,99.42,2.0
