Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.97,57.0,14,74,2.97,1.74
multidim-3,multidim-3,18.77,30.0,16,89,2.77,1.89
multidim-4,multidim-4,19.06,49.0,15,90,4.06,1.9
Hierarchical,Hierarchical,22.67,30.0,[5 3 3],100,17.67,4.0
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
Matrix,Matrix,26.63,13.0,25,81,1.63,1.81
multidim-2,multidim-2,26.63,13.0,25,81,1.63,1.81
STD,STD,35.0,21.0,35,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,40.0,30.0,40,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,73.0,41,0,0.0,1.0
Binary,Binary,102.65,73.0,8,100,94.65,2.0
